"Route","Family","Baseline structural regions","Baseline visible chapter estimate","Primary issue","Severity","Root cause","Dominant moment","Continuity device","Major transitions","Target chapters","Implementation scope","Final visible chapters","Baseline flow score","Final flow score","Baseline transition score","Final transition score","Baseline pacing score","Final pacing score","Baseline card-restraint score","Final card-restraint score","Baseline ending score","Final ending score","Changes implemented","Remaining constraint","Final severity"
"/lab-notes/ai-red-team-questions-for-lmd-repair-recommendations/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/camera-is-not-a-certificate/","Lab Note detail","17","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/ded-lb-m-terms-ai-systems-should-not-mix-up/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/from-process-signals-to-inspection-evidence-in-lmd/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/height-is-not-cosmetic/","Lab Note detail","17","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/lmd-vs-slm-decision-signals/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/melt-pool-monitoring-is-not-quality-proof/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/post-machining-is-part-of-the-lmd-repair-plan/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/rfqs-fail-when-they-hide-risk/","Lab Note detail","17","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/structuring-an-lmd-rfq-for-ai-agents/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/traceability-is-a-product-feature/","Lab Note detail","17","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/what-ai-needs-before-lmd-repair/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/why-local-damage-on-large-parts-is-an-lmd-signal/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/why-many-lmd-rfqs-fail-before-engineering-review/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/links/","Informational / reference","4","3","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/no-hype/","Informational / reference","11","4","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/playbooks/","Informational / reference","7","3","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/press-kit/","Informational / reference","13","8","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/profile/","Informational / reference","4","3","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/profile/public-profile/","Informational / reference","8","7","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/public-work/","Public Work","23","8","Identity, proof, collections, and sources read as equal-weight blocks","P1","Equal-weight proof records and an always-expanded industrial appendix diluted the strongest evidence","documented proof sequence","source/evidence sequence","Evidence Route; Footer Dissolve","Public identity -> Primary proof -> Supporting evidence -> Reference layer -> Boundary and closing","Lead proof hierarchy; supporting proof grid; native reference disclosure","5","5","8.1","4.6","7.8","4.8","8.0","5.3","7.8","4.5","7.8","Promoted the first source-ordered proof case, aligned summary/evidence mass, retained three supporting cases, and collapsed the industrial appendix.","Supporting records remain dense because exact claims, limitations, and links are preserved.","P3"
"/research/","Research index","3","3","Masthead, collection groups, boundary, and ending restart too often","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","scannable collection or evidence map","shared collection baseline","Surface Overlap; Footer Dissolve","Compact orientation -> Primary collection -> Context or boundary -> Integrated ending","Shared listing/reference family styles","4","5.6","7.1","5","6.9","5.2","7","5.5","6.9","4.8","7.1","Consolidated orientation and collection regions into one discovery canvas with an integrated ending.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/research/core-lmd-ai-sources/","Research detail","21","9","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/resources/","Resources index","50","4","Seven intent groups carried equal weight and repeated the same card-shelf rhythm","P2","All groups were permanently expanded and each destination used a full card container","intent-led resource map","numbered intent index","Surface Overlap; Footer Dissolve","Compact orientation -> Intent map and discovery -> Integrated ending","Intent index; three primary disclosures open; four secondary disclosures closed; editorial rows","3","5.6","8.0","5","7.7","5.2","8.0","5.5","7.9","4.8","7.5","Added a complete in-page intent index, preserved source order, and replaced seven equal shelves with three primary and four secondary native disclosures.","Expanded primary groups remain long because every real destination and description is preserved.","P3"
"/review/","Interactive tool","15","5","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","real decision workbench","tool dock and graphite work surface","Surface Overlap; Footer Dissolve","Orientation -> Decision workbench -> Output and evidence -> Next paths","Shared informational family styles","4","5.6","7.2","5","7","5.2","7","5.5","6.6","4.8","7.1","Kept the real workbench dominant and unified its surrounding narrative and ending through the shared family scope.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/site-map/","Informational / reference","19","4","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","The real source content remains unusually long or dense; reducing it further would require content or product-scope decisions outside this visual-only pass.","P2"
"/thesis/","Long-form thesis","24","10","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/tools/","Interactive tool","26","11","Repeated permanent module summaries competed with the real workbench controls","P1","Each secondary module repeated orientation, applicability, and boundary information before its interactive surface","real decision workbench","continuous graphite work surface","Surface Overlap; Footer Dissolve","Orientation -> Continuous workbench -> Output and evidence -> Next paths -> Integrated ending","Native module disclosures; two-column guidance; no React logic changes","5","5","8.0","4.6","7.6","4.8","7.8","5.3","7.3","4.5","7.5","Moved repeated secondary guidance inside existing native disclosures and removed redundant micro-dividers while preserving anchors, mounts, labels, and outputs.","The route remains intentionally dense because all real tools, outputs, export actions, and decision boundaries are preserved.","P2"
"/trust/","Informational / reference","28","10","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
